Batsman Name,Team,Dots,Singles,Doubles,Triples,Fours,Sixes,Runs,Deliveries,Opposition Team,Career Average,Match ID,Match Date,Match Year,Venue,,
Saeed Anwar,Pakistan,17,4,1,0,0,0,6,22,Scotland,39.21,1453,May-20-1999,1999,Chester-le-Street,,
Shahid Afridi,Pakistan,7,1,1,0,1,0,7,10,Scotland,23.57,1453,May-20-1999,1999,Chester-le-Street,,
Abdul Razzaq,Pakistan,42,5,4,0,0,0,13,51,Scotland,29.7,1453,May-20-1999,1999,Chester-le-Street,,
Inzamam-ul-Haq,Pakistan,42,5,2,1,0,0,12,50,Scotland,39.52,1453,May-20-1999,1999,Chester-le-Street,,
Saleem Malik,Pakistan,1,0,0,0,0,0,0,1,Scotland,32.88,1453,May-20-1999,1999,Chester-le-Street,,
Yousuf Youhana,Pakistan,69,32,12,0,6,0,80,119,Scotland,41.71,1453,May-20-1999,1999,Chester-le-Street,,
Moin Khan,Pakistan,15,16,4,1,5,0,47,41,Scotland,23,1453,May-20-1999,1999,Chester-le-Street,,
Wasim Akram,Pakistan,2,9,4,0,2,2,37,19,Scotland,16.52,1453,May-20-1999,1999,Chester-le-Street,,
BMW Patterson,Scotland,5,0,0,0,0,0,0,5,Pakistan,44.76,1453,May-20-1999,1999,Chester-le-Street,,
IL Philip,Scotland,6,0,0,0,0,0,0,6,Pakistan,43.73,1453,May-20-1999,1999,Chester-le-Street,,
MJ Smith,Scotland,1,1,1,0,0,0,3,3,Pakistan,36.25,1453,May-20-1999,1999,Chester-le-Street,,
IM Stanger,Scotland,21,3,0,0,0,0,3,24,Pakistan,27.85,1453,May-20-1999,1999,Chester-le-Street,,
G Salmond,Scotland,4,2,0,1,0,0,5,7,Pakistan,46.73,1453,May-20-1999,1999,Chester-le-Street,,
GM Hamilton,Scotland,70,25,8,0,3,3,76,110,Pakistan,35.17,1453,May-20-1999,1999,Chester-le-Street,,
JE Brinkley,Scotland,33,5,3,0,3,0,23,44,Pakistan,10.71,1453,May-20-1999,1999,Chester-le-Street,,
AG Davies,Scotland,18,5,2,2,1,0,19,28,Pakistan,20,1453,May-20-1999,1999,Chester-le-Street,,
JAR Blain,Scotland,5,0,0,0,0,0,0,5,Pakistan,2,1453,May-20-1999,1999,Chester-le-Street,,
Asim Butt,Scotland,4,1,0,0,0,0,1,5,Pakistan,14.96,1453,May-20-1999,1999,Chester-le-Street,,
NR Dyer,Scotland,3,1,0,0,0,0,1,4,Pakistan,4,1453,May-20-1999,1999,Chester-le-Street,,
Shahriar Hossain,Bangladesh,3,2,0,0,0,0,2,5,West Indies,19.05,1454,May-21-1999,1999,Dublin,,
Mehrab Hossain,Bangladesh,86,34,4,0,4,1,64,129,West Indies,24.94,1454,May-21-1999,1999,Dublin,,
Akram Khan,Bangladesh,16,2,1,0,0,0,4,19,West Indies,23.23,1454,May-21-1999,1999,Dublin,,
Aminul Islam,Bangladesh,22,2,0,0,0,0,2,24,West Indies,23.35,1454,May-21-1999,1999,Dublin,,
Minhajul Abedin,Bangladesh,16,3,1,0,0,0,5,20,West Indies,51.78,1454,May-21-1999,1999,Dublin,,
Naimur Rahman,Bangladesh,44,19,5,0,4,0,45,72,West Indies,19.52,1454,May-21-1999,1999,Dublin,,
Khaled Mahmud,Bangladesh,5,7,3,0,0,0,13,15,West Indies,14.36,1454,May-21-1999,1999,Dublin,,
Khaled Mashud,Bangladesh,3,2,1,0,0,0,4,6,West Indies,21.9,1454,May-21-1999,1999,Dublin,,
Enamul Haque,Bangladesh,4,2,1,0,0,0,4,7,West Indies,11.23,1454,May-21-1999,1999,Dublin,,
Hasibul Hossain,Bangladesh,2,1,0,0,0,0,1,3,West Indies,8.6,1454,May-21-1999,1999,Dublin,,
Manjural Islam,Bangladesh,2,0,0,0,0,0,0,2,West Indies,5.88,1454,May-21-1999,1999,Dublin,,
SL Campbell,West Indies,48,17,0,1,4,0,36,70,Bangladesh,26.24,1454,May-21-1999,1999,Dublin,,
RD Jacobs,West Indies,53,22,0,1,5,1,51,82,Bangladesh,23.31,1454,May-21-1999,1999,Dublin,,
JC Adams,West Indies,51,22,2,1,6,0,53,82,Bangladesh,28.62,1454,May-21-1999,1999,Dublin,,
BC Lara,West Indies,14,5,2,0,4,0,25,25,Bangladesh,40.48,1454,May-21-1999,1999,Dublin,,
S Chanderpaul,West Indies,14,3,0,0,2,0,11,19,Bangladesh,41.6,1454,May-21-1999,1999,Dublin,,
G Kirsten,South Africa,34,19,4,1,4,0,46,62,England,40.95,1455,May-22-1999,1999,The Oval,,
HH Gibbs,South Africa,65,15,6,1,6,1,60,94,England,36.13,1455,May-22-1999,1999,The Oval,,
JH Kallis,South Africa,5,0,0,0,0,0,0,5,England,44.36,1455,May-22-1999,1999,The Oval,,
DJ Cullinan,South Africa,16,2,0,0,2,0,10,20,England,32.99,1455,May-22-1999,1999,The Oval,,
WJ Cronje,South Africa,16,8,4,0,0,0,16,28,England,38.64,1455,May-22-1999,1999,The Oval,,
JN Rhodes,South Africa,12,8,3,0,1,0,18,24,England,35.11,1455,May-22-1999,1999,The Oval,,
L Klusener,South Africa,11,20,5,0,3,1,48,40,England,41.1,1455,May-22-1999,1999,The Oval,,
SM Pollock,South Africa,1,0,0,0,0,0,0,1,England,26.45,1455,May-22-1999,1999,The Oval,,
MV Boucher,South Africa,12,13,2,0,0,0,17,27,England,28.57,1455,May-22-1999,1999,The Oval,,
N Hussain,England,8,1,0,0,0,0,1,9,South Africa,30.28,1455,May-22-1999,1999,The Oval,,
AJ Stewart,England,0,0,0,0,0,0,0,0,South Africa,31.6,1455,May-22-1999,1999,The Oval,,
GA Hick,England,38,8,2,0,2,0,20,50,South Africa,37.33,1455,May-22-1999,1999,The Oval,,
GP Thorpe,England,21,4,3,0,1,0,14,29,South Africa,37.18,1455,May-22-1999,1999,The Oval,,
NH Fairbrother,England,29,11,2,1,1,0,22,44,South Africa,39.47,1455,May-22-1999,1999,The Oval,,
A Flintoff,England,9,0,0,0,0,0,0,9,South Africa,32.01,1455,May-22-1999,1999,The Oval,,
MA Ealham,England,15,1,0,0,1,0,5,17,South Africa,17.46,1455,May-22-1999,1999,The Oval,,
RDB Croft,England,21,3,1,0,2,0,13,27,South Africa,14.37,1455,May-22-1999,1999,The Oval,,
D Gough,England,27,5,1,0,1,0,11,34,South Africa,12.42,1455,May-22-1999,1999,The Oval,,
ARC Fraser,England,15,2,1,0,0,0,4,18,South Africa,12.81,1455,May-22-1999,1999,The Oval,,
AD Mullally,England,5,1,0,0,0,0,1,6,South Africa,5.73,1455,May-22-1999,1999,The Oval,,
NC Johnson,Zimbabwe,13,2,1,0,1,0,8,17,Sri Lanka,36.5,1456,May-22-1999,1999,Worcester,,
GW Flower,Zimbabwe,48,12,3,0,6,0,42,69,Sri Lanka,33.52,1456,May-22-1999,1999,Worcester,,
